item,unit2,unit2_price
CALGOVITE(CALCIUM) TABS  X 20,JAR,"1,620.00"
CALGOVITE(VITAMIN C) TABS  X 20,JAR,"1,600.00"
CALIPOT [M/S]  ,PCS,750
CALIPOT [S/S]  ,PCS,550
CALM NITE(N/F) TABS  X 100,FULL PACK,"11,225.00"
CALMNITE TABS  X 30,PACK,"3,900.00"
CALPOL(UK) SUSP 120MG/5ML,BOTTLE,"1,780.00"
CALYPSO S/S,BOTTLE,135
CAMELLIE CHOCOLATE   X 48,FULL PACK,960
CAMOQUIN PLUS SYR 50MG/5ML 60ML,PACK,"1,710.00"
CAMOQUIN SYR  60ML,BOTTLE,"1,820.00"
CAMOQUIN X25 TABS 200MG X 75,FULL PACK,"3,550.00"
CAMOSUNATE (1-6) TABS  X 10,FULL PACK,"6,165.00"
CAMOSUNATE [7-13YRS] TABS  X 10,FULL PACK,"6,390.00"
CAMOSUNATE ADULT TABS  X 10,FULL PACK,"7,450.00"
CAMOSUNATE BELOW I YR TABS ,PACK,540
CAMPARI ORANGE WINE 1L,BOTTLE,"3,010.00"
CAMPARI WINE 20CL,BOTTLE,"1,895.00"
CANDEREL TABS 1 X 100,JAR,965
CANDERM POWDER  X 1,JAR,450
CANDESARTAN (KORLYNS)  TABS 16MG X 30,FULL PACK,"2,450.00"
CANDESARTAN (KORLYNS)  TABS 8MG X 30,FULL PACK,"2,300.00"
CANDESARTAN (TEVA)  TABS 4MG X 28,FULL PACK,"1,400.00"
CANDESARTAN HCT TABS 16/12.5MG X 28,FULL PACK,"2,850.00"
CANDESARTAN(KORLYNS) TABS 4MG X 30,FULL PACK,"2,050.00"
CANDESARTAN(SANDOZ) TABS 16MG X 28,FULL PACK,"4,120.00"
CANDESARTAN(SANDOZ) TABS 8/12.5MG X 98,FULL PACK,"6,610.00"
CANDESARTAN(SANDOZ) TABS 8MG X 28,FULL PACK,"1,950.00"
CANDESARTAN/HCT(SANDOZ) TABS 16MG/12.5MG X 30,FULL PACK,"4,950.00"
CANDIBIOTIC EAR DROPS 15ML,BOTTLE,350
CANDID POWDER 30G,JAR,"1,300.00"
CANDID V1 CAPLET 500MG,PACK,450
CANDID-V 6 TABS 500MG,PACK,400
CANDIDERM CREAM 15GM,TUBE,500
CANDISTEN CREAM 20G X 1,TUBE,140
CANEMARK VAGINAL TABS 100MG X 1,PACK,300
CANESTEN CREAM  20G [UK] ,TUBE,"2,150.00"
CANESTEN VAGINA TAB  ,PACK,"3,400.00"
CANFOR B/S X 1,PACK,280
CANNON EXTRA CAPLET  X 20,PACK,165
CANNULA(YELLOW)  24G X 100,FULL PACK,"7,115.00"
CANOE SOAP 140G,PACK,170
CANTAB -V TABS 100MG X 6,PACK,215
CANULA(BLUE)   X 50,FULL PACK,"2,800.00"
CANULLA   {6MM} ,PCS,450
CANULLA  20G X 50 {PINK} ,FULL PACK,"2,720.00"
CANULLA  24G [YELLOW]   X 50,FULL PACK,"3,400.00"
CANULLA  4MM,PCS,645
CANULLA  X 50  16G {GRAY} ,PACK,"1,300.00"
CANULLA  X 50  18G,PACK,"1,300.00"
CANULLA 21G   X 50 {GREEN} ,FULL PACK,"2,685.00"
CAPFLOXACIN TABS 500MG X 10,PACK,200
CAPILLARY TUBE  ,PACK,500
CAPRECE PERF,JAR,675
CAPRI- SONNE,FOIL STRIP,45
CAPTOPRIL  50MG TABS X 56,FULL PACK,"1,015.00"
CAPTOPRIL TABS 25MG X 56,FULL PACK,940
CAR AIRFRESHNER (MULTI COY) X 1,PACK,595
CAR TISSUE X 1,PCS,260
CARA  HAIR DYE 60ML,BOTTLE,"1,160.00"
CARAMBOLA ANTI-SPOT CREAM X 1,TUBE,350
CARAT MEDICATED CLASSIC SOAP 75G,SOAP TABLET,185
CARBAGOLINE X 4 TABS 0.5MG,JAR,"5,500.00"
CARBAMAL TABS 200MG CR X 100,FULL PACK,"3,000.00"
CARBAMAL TABS 200MG X 1000,JAR,"16,700.00"
CARBAMAL TABS 400MG CR X 100,FULL PACK,"5,024.00"
CARBAMAZEPINE (MULTICOY)  TABS  X 1000,JAR,"18,000.00"
CARBAMAZEPINE TABS 200MG X 500 [CYPRUS] ,JAR,"8,160.00"
CARBIDOX TABS X 8,PACK,"5,400.00"
CARBIROID TABS 5MG X 100,FULL PACK,"4,800.00"
CARDIOACE PLUS CAPS X 60,PACK,"10,500.00"
CARDIOACE TABS ,PACK,"3,950.00"
CARDIOACE X 30 CAPS ,PACK,"4,000.00"
CARDIOVIT(N/F) X 30 CAPS ,JAR,"4,950.00"
CARDOVASC RETARD TABS 20MG X 30,FULL PACK,875
CARDOVASC RETARD TABS 20MG X 50,FULL PACK,"1,080.00"
CARDOVASC XL TABS 30MG X 30,FULL PACK,"1,100.00"
CARDURA XL (PFIZER)  TABS 4MG X 30,FULL PACK,"3,705.00"
CAREON (750ML) LOTION ,BOTTLE,620
CAREON SYR  200ML,BOTTLE,"1,035.00"
CAREON SYR 1 LIT,BOTTLE,740
CAREON SYR 100ML,BOTTLE,120
CARFEGOT TAB   X 100,FULL PACK,"2,720.00"
CARIS  SOAP 80G X 1,FULL PACK,"1,220.00"
CARIS COMPLEXION BODY LOTION 475MLS,BOTTLE,"1,955.00"
CARIS MEDICATED FADE CREAM 227G,JAR,"1,800.00"
CARIS SOAP 150G,SOAP TABLET,310
CARIS ULTRA COMPLEXION UNPACKED X 1,JAR,233.33
CARLO ROSSI WINE 750ML,BOTTLE,895
CARO WHITE  LOTION 500ML,JAR,"1,145.00"
CARO WHITE  SERUN  50ML,JAR,185
CARO WHITE BATH X 1,JAR,900
CARO WHITE BODY LOTION 200ML,JAR,550
CARO WHITE BODY LOTION 300ML X 1,JAR,760
CARO WHITE CREAM CUP 120G,JAR,365
CARO WHITE CREAM CUP 300G,JAR,675
CARO WHITE CREAM CUP 500G,JAR,"1,010.00"
CARO WHITE LIGHTENING TUBE 25G,FULL PACK,"1,710.00"
CARO WHITE SOAP 180G,PACK,425
CARO WHITE SOAP 80G,SOAP TABLET,150
CAROLINE CREAM CUP 330ML,JAR,340
CAROLINE LOTION 250ML,BOTTLE,333.33
CAROTONE BODY LOTION 215ML,JAR,"1,180.00"
CAROTONE BSC X 1,PACK,310
CAROTONE CLEANSER X 1,TUBE,316.67
CAROTONE CUP 330G,JAR,675
CAROTONE LOTION 550ML,JAR,"1,175.00"
CAROTONE OIL 50ML,BOTTLE,340
CAROTONE SOAP 190G X 1,PACK,415
CAROTONE TUBE 25G,TUBE,195
CARTEF SUSP 20/120MG X 1,BOTTLE,420
CARTEF TABS 20/120,PACK,380
CARVEDILOL (MULTICHRIS)  TABS 25MG X 28,FULL PACK,900
CARVEDILOL (MULTICOY)  TABS 12.5MG X 28,FULL PACK,"1,250.00"
CARVEDILOL TABS  X 28 {3.125} ,FULL PACK,900
CARVEDILOL TABS 6.25MG X 28 [ENGLAND] ,FULL PACK,900
CARVEDILOL(TEVA) TABS 25MG X 28,FULL PACK,"1,350.00"
CARZEPIN TABS 200MG X 100,FULL PACK,"3,800.00"
CARZEPIN TABS 200MG X 500,FULL PACK,"7,150.00"
CASHEW NUT (SPICED) B/S X 1,FULL PACK,"9,025.00"
CASHEW NUT (SPICED) S/S,BOTTLE,800
CASHEW NUT B/S UNSPICED X 1,BOTTLE,"1,465.00"
CASHEW NUT S/S UNSPICED X 1,BOTTLE,715
CASILAN 90 POWDER  450G,PACK,"4,180.00"
CASODEX  100MG X 28,FULL PACK,"5,585.00"
CASODEX TABS 150MG X 28,FULL PACK,"22,000.00"
CASODEX TABS 50MG X 28,FULL PACK,"9,000.00"
CASTOR OIL  HAIR TREATMENT X 1,JAR,"1,005.00"
CASTOR OIL 70ML  ,BOTTLE,860
CATACURE EYE DROPS  10ML,BOTTLE,"2,100.00"
CATAFED SYR 100ML X 1,BOTTLE,120
CATAFLAM TABS 50MG X 100,FULL PACK,"5,435.00"
CATAFLAM TABS 50MG X 20,FULL PACK,"1,800.00"
CATALIN(PACKI) EYE DROPS X 1,PACK,0
CATALINE EYE DROPS  15ML,BOTTLE,"1,455.00"
CATAREST EYE DROPS 5ML,BOTTLE,"1,550.00"
CATHETER  10 INCHES X 10,FULL PACK,"3,200.00"
CATHETER  12INCH X 10,FULL PACK,"3,200.00"
CATHETER  14INCH X 10,FULL PACK,"2,355.00"
CATHETER  16INCH X 10,FULL PACK,"3,050.00"
CATHETER  18INCH X 10,FULL PACK,"3,015.00"
CATHETER  20INCH X 10,FULL PACK,"2,355.00"
CATHETER  22 INCH X 10,FULL PACK,"2,355.00"
CATHETER  24INCH X 10,FULL PACK,"1,765.00"
CATHETHER 6 INCHES   X 10,FULL PACK,"3,200.00"
CEDAX (NAPROXEN) TABS 500MG X 100,FULL PACK,"1,500.00"
CEDAX (NAPROXEN) X 20 TABS ,PACK,550
CEEMACIN X 14 (CLARITHROMYCIN) TABS 500MG,PACK,"1,450.00"
CEEMORAL TABS  X 30,FULL PACK,260
CEEZEX SYR 60ML,BOTTLE,"1,000.00"
CEFADOX 200MG  ,PACK,"1,550.00"
CEFADOX TABS 100MG,PACK,950
CEFEXICLAV TABS 325MG X 10,PACK,"1,750.00"
CEFIN INJ 1G 10MLS,BOTTLE,580
CEFIRAT TABS 200MG X 10,PACK,650
CEFIRAT TABS 400MG X 10,PACK,920
CEFIXIM (REALS) X 20 TABS 200MG,PACK,"1,350.00"
CEFIXIME (EVANS BAROQUE) CAPLET 200MG X 10,PACK,850
CEFIXIME (EVANS BAROQUE) CAPLET 400MG X 10,PACK,"1,680.00"
CEFIXIME (EVANS BAROQUE) SYR 100ML X 1,BOTTLE,"1,300.00"
CEFIXIME (MIRAL)  TABS 400MG,PACK,850
CEFIXIME (MULTICOY)  TABS 200MG X 10,PACK,800
CEFIZIM TABS 200MG X 20,FULL PACK,"2,285.00"
CEFIZIM(CEFIXIME) TABS 200MG,PACK,500
CEFLONAC FORTE TABS  X 10,PACK,200
CEFLONAC SP   X 100,PACK,350
CEFSAFE-500 TABS 500MG X 10,PACK,"1,200.00"
CEFTAZIDIME 1G INJECTION  ,VIALS,750
CEFTRAN FORTE INJ X 1,VIALS,570
CEFTRAN INJ X 1,VIALS,315
CEFTRIAXONE SODIUM INJ  X1G (MULTICOY),VIALS,330
CEFTYL TABS 250MG,PACK,900
CEFTYL TABS 500MG,PACK,"1,500.00"
CEFULVIN SUSP 100ML X 1,BOTTLE,640
CEFUNAT SUSP  X 1,BOTTLE,"1,100.00"
CEFUNAT TABS 250MG,PACK,950
CEFUNAT X 10 TABS 500MG,PACK,"2,200.00"
CEFUROXIME (FIDSON)  SUSP 100ML,BOTTLE,"1,100.00"
CEFUROXIME (FIDSON)  TABS 250MG X 10,PACK,"1,285.00"
CEFUROXIME (MULTICOY) INJ X 1,PACK,340
CEFUROXIME(GREEN HOPE) SYR 100ML X 1,BOTTLE,"1,100.00"
CEFUROXIME(KINA) SUSP 125MG 100ML,BOTTLE,475
CEFUROXIME(KINA) TABS 250MG X 10,PACK,570
CEFUROXIME(KINA) TABS 500MG X 10,PACK,"1,000.00"
CEFUROXIME(POCO) SYR X 1,BOTTLE,"1,200.00"
CEFUROXIME(TIMEC) TABS 500MG X 10,PACK,800
CEFUZAR TABS 250MG X 10,PACK,650
CEFUZAR TABS 500MG X 10,PACK,900
CELARASIL SHOWER GEL,JAR,"1,995.00"
CELEBREX CAPS 200MG,PACK,"2,200.00"
CELECOXIB (TEVA)  TABS 200MG X 28,FULL PACK,"1,240.00"
CELEDRIN (ESOMEPRAZOLE) X 30 CAPS 20MG,PACK,"1,735.00"
CELEROSE X 10 TABS ,PACK,450
CELEVOX X10 TABS 500MG X 1,PACK,670
CELEXIN  500MG CAP X 100,FULL PACK,"3,685.00"
CELEXIN SUSP 125MG/5ML 60ML,BOTTLE,760
CELLGEVITY X 30 CAPS ,PACK,"7,500.00"
CENCOLD  SYR 100ML,BOTTLE,215
CENOCIDE X 100 TABS 50MG,JAR,820
CENOX TABLET X 10 TABS 500MG,PACK,600
CENOX TABLET X 14 CAPLET 500MG,PACK,680
CENPAIN NIGHT CAPLET X12,PACK,250
CENPAIN NIGHT X 60 SYR 100ML/5ML,BOTTLE,245
CENTRUM  PERFORMANCE (PFIZER) TABS  X 30,JAR,"1,550.00"
CENTRUM A-Z CAPLET  X 130,FULL PACK,"696,410.00"
CENTRUM ADULTS UNDER 50 TABS  X 100,JAR,"1,790.00"
CENTRUM ADVANCE (PFIZER) TABS  X 100,JAR,"2,850.00"
CENTRUM ADVANCE (PFIZER) TABS  X 30,JAR,"1,300.00"
CENTRUM ADVANCE (PFIZER) TABS 50+ X 30,JAR,"1,300.00"
CENTRUM ADVANCE TABS  X 60,JAR,"2,000.00"
CENTRUM ADVANCE TABS 50+ X 60,JAR,"2,150.00"
CENTRUM ADVANCE X100 TABS 50+ X 1,JAR,"2,950.00"
CENTRUM EVERYDAY VALUE(ADULTS) TABS X 130,PACK,"8,800.00"
CENTRUM KIDS (PFIZER) TABS  X 30,JAR,"1,400.00"
CENTRUM MEN TABS X 120,PACK,"9,000.00"
CENTRUM PREGNANCY CARE (PFIZER) TABS  X 30,JAR,"1,100.00"
CENTRUM SILVER  MEN 50+ TABS X 120,PACK,"8,200.00"
CENTRUM SILVER (WOMEN 50+) TABS  X 100,JAR,"9,500.00"
CENTRUM SILVER ADULT 50+ TABS  X 125,PACK,"8,850.00"
CENTRUM SILVER CAPLET  X 130,FULL PACK,"670,280.00"
CENTRUM SILVER TABS X 100,JAR,"5,590.00"
CENTRUM SILVER(ADULT 50+) TABS X 80,PACK,"8,200.00"
CENTRUM WOMEN TABS X 120,PACK,"8,200.00"
CENTRUM(MEN) TABS X 40,PACK,"1,250.00"
CENVITAN ADULT PLUS TABS  X 1,PACK,"2,000.00"
CENVITAN ADULT TABS  X 1,PACK,"1,800.00"
CENVITAN TAURINE KIDS TABS  X 1,PACK,"2,500.00"
CEPHAFLASH CAPS 500MG X 10,PACK,550
CEPHAFLASH SUSP 125MG 100ML,BOTTLE,430
CEPHAFLASH SUSP 250MG 100ML,BOTTLE,630
CEPHALAXIN  500MG CAP X 100(MULTICOY),FULL PACK,500
CEPHALEXIN (DORTEMAG) SUSP 125MG,BOTTLE,450
CEPHALEXIN-250 CAPS   X 100,FULL PACK,850
CEPHAROX INJ 1G 15MLS,VIALS,800
CEPOREX SUSP 125MG/5ML 60ML,BOTTLE,750
CEPOREX SUSP 250MG/5ML 60ML,BOTTLE,890
CEPOREX X 10 TABS 500MG,PACK,400
CERELAC  8MONTHS 400G {MIXED FRUITS} ,TIN,"1,425.00"
CERELAC 400G X 1 [NIGERIA] ,TIN,"1,160.00"
CERELAC 6MONTHS 1KG,TIN,"3,175.00"
CERELAC8 MONTHS( MIXED FRUIT) 1KG,TIN,"3,175.00"
CERIZINE TABS  X 100,FULL PACK,900
CEROBACT (AMOXICILIN CLAVULANATE) X 12 SUSP 228.5MG,BOTTLE,500
CEROBACT(AMOXICILIN CLAVULANATE) INJ 1.2G,VIALS,360
CEROKIDS SYR  200ML,BOTTLE,"1,475.00"
CEROTAMIN PLUS SYR  200ML,BOTTLE,435
CERUMOL EAR DROPS  11ML,BOTTLE,"2,190.00"
CET Z 10MG TABS  X 30,FULL PACK,510
CETAFENAC X 100 CAPLET 500MG,PACK,750
CETIDYN-L TABS  X 100,FULL PACK,"1,000.00"
CETILAB TABS 400MG,PACK,170
CETIN SYR 60ML,BOTTLE,300
CETIN X 100 TABS ,PACK,700
CETRIZINE SYR 60ML X 1,BOTTLE,650
CETRIZINE TABS 10MG X 50,FULL PACK,530
CETROXOL TABS 500MG X 3,PACK,"1,420.00"
CHAIRMAN PERFUME(SIVOP)  100ML,BOTTLE,"2,000.00"
CHAMDER WINE 750ML X 1,BOTTLE,"1,360.00"
CHARICOD X 30 CAPS ,PACK,170
CHARITONE SYR 200ML X 1,BOTTLE,320
CHARITONE X 30 CAPS ,PACK,215
CHARITY COD LIVER OIL CAPS 1000MG X 1,PACK,265
CHARITY COD LIVER OIL CAPS 300MG X 1,PACK,260
CHARIVITE SYR 200ML X 1,BOTTLE,530
CHARIVITE X 30 CAPS ,PACK,215
CHECKERS OAT REFIL 375G,SACHET,400
CHELATED ZINC X 100(N/FILED) TABS 50MG,JAR,"2,950.00"
CHELATED ZINC(PURITAN PRIDE)  ,JAR,"1,150.00"
CHEMIRON CAPS  X 120,FULL PACK,"1,550.00"
CHEMIRON TONIC SYR  1L,BOTTLE,"1,150.00"
CHEMIRON X 20 SYR 200ML,BOTTLE,495
CHEMOCEF INJ 750MG X 1,VIALS,450
CHEMOCEF TABS 250MG X 10,PACK,750
CHEMOCEF TABS 500MG X 10,PACK,"1,200.00"
CHEMOCLAV INJ 1.2G X 1,VIALS,800
CHEMOTONE SYR  200ML,BOTTLE,300
CHEMOTONE SYR 1L,BOTTLE,905
CHEMTEL TABS X 1,PACK,80
CHESS MAGETIC GAME,PACK,"1,400.00"
CHEST AND LUNG TABS  X 20,FULL PACK,160
CHEWABLE CALCIUM(P/P) TABS 500MG X 100,JAR,"3,000.00"
CHEZORAL CREAM X 1,TUBE,270
CHI  EXOTIC FRUIT JUICE  1LT,PACK,340
CHI ICE TEA 1LT,PACK,210
CHIFENAC (ACECLOFENAC) X 10 TABS 100MG X 1,PACK,"2,550.00"
CHIFENAC (ACECLOFENAC) X 100 CAPLET 10MG X 1,PACK,"2,700.00"
CHILDREN'S PLANE X 1,PCS,700
CHILDREN'S TOOTH BRUSH X 12,PCS,58.33
CHIMOX (MEBENDAZOLE) X 1 TABS 500MG X 1,PACK,150
CHIMOX (MEBENDAZOLE) X 6 TABS 100MG,PACK,200
CHIN-CHIN  S/S,JAR,50
CHIN-CHIN XXL {SMALL}  [BOTTLE] ,BOTTLE,410
CHINESE FACIAL CREAM X12,TIN,145
CHIVITA 1L {ORANGE + PINEAPPLE} ,BOX,370
CHIVITA ACTIVE 1L,PACK,395
CHIZODERM CREAM ,TUBE,300
CHIZODERM X 30 TABS 200MG X 1,PACK,650
CHLOPROMAZINE  50MG TAB X 1000,JAR,"5,810.00"
CHLOPROMAZINE 100MG TAB X 1000,JAR,"17,000.00"
CHLOPROMAZINE 50MG INJ X 100,FULL PACK,"3,000.00"
CHLORAMPHENICOL  SYR 100ML(MULTICOY),BOTTLE,390
CHLORAMPHENICOL (DGF) EAR DROPS 10ML X 1,PACK,300
CHLORAMPHENICOL (drugfield) EYE DROPS  10ml,BOTTLE,226
CHLORAMPHENICOL (DRUGFIELD) EYE OINTMENT 5G,TUBE,250
CHLORAMPHENICOL (ELISCA)  EAR DROPS 5%,BOTTLE,475
CHLORAMPHENICOL (ELISCA) EYE DROPS 0.5% 10ML,BOTTLE,275
CHLORAMPHENICOL (MULTICOY)  CAPS  X 100,FULL PACK,"1,600.00"
CHLORAMPHENICOL (MULTICOY)  EYE DROPS 5ML,BOTTLE,160
CHLORAMPHENICOL (NCL)  EYE DROPS 10ML,BOTTLE,150
CHLORAMPHENICOL (VITA BIOTIC) SUSP  [BOTTLE] ,BOTTLE,440
CHLORAMPHENICOL 1G INJ  X 100,FULL PACK,"42,000.00"
CHLORAMPHENICOL CAPS 250MG X 1000,PACK,0
CHLORAMPHENICOL EAR DROPS 5ML(MULTICOY),BOTTLE,280
CHLORAMPHENICOL EYE DROPS  5ML(MULTICOY),BOTTLE,165
CHLORAMPHENICOL EYE OINT X 50(MULTICOY),FULL PACK,"5,335.00"
CHLORAMPHENICOL M.C.A EYE DROPS,BOTTLE,135
CHLORBINES (NEIMETH)  TABS 250MG X 100,FULL PACK,"3,360.00"
CHLORBINESE  250MG X 100,FULL PACK,"3,700.00"
CHLOROQUINE  INJ 30ML X 100,FULL PACK,"25,000.00"
CHLOROQUINE (Emzor ) SYR  60ML,BOTTLE,240
CHLOROQUINE (EMZOR)  TABS 250MG X 100,FULL PACK,"2,400.00"
CHLOROQUINE (EVANS)  TABS  X 1000,JAR,300
CHLOROQUINE (LEADY)  SYR 2 LIT,BOTTLE,500
CHLOROQUINE (M&B)  TABS 250MG X 100,FULL PACK,"3,000.00"
CHLOROQUINE (MULTICOY) TABS X10,PACK,80
CHLOROQUINE INJ 5ML X 100,FULL PACK,"2,850.00"
CHLOROQUINE SYRUP 2LITRES SYR ,JAR,700
CHLOROQUINE X10 (EVANS )  TABS ,PACK,450
CHLOROQUINE(NKOYO) INJ 30ML X 10,VIALS,230
CHLORPHENIRAMINE 10MG  INJ,FULL PACK,100
CHLORPHENIRAMINE 4MG TAB  X 1000(MULTI COY),JAR,460
CHLORPHENIRAMINE 60ML SYR (MULTI COY),BOTTLE,140
CHLORPROPAMIDE  250MG X 1000,JAR,"3,190.00"
CHLORXY-G CREAM ,TUBE,370
CHOLESTEROL DEFENCE(N/F) X 60  ,JAR,"6,600.00"
CHROMIC  2/0   X 12,FULL PACK,"1,800.00"
CHROMIC  SIZE 2 X 12,FULL PACK,"1,700.00"
CHROMIC  SIZE 3/0 X 12,FULL PACK,"1,515.00"
CHROMIC  SIZE 4/0 X 12,FULL PACK,110
CHROMIC 0   X 12,FULL PACK,"1,450.00"
CHROMIC 1   X 12,FULL PACK,"1,450.00"
CHROMIUM PICOLINATE TABS X 1,JAR,"1,950.00"
CHYMOCIN(MAYDON) TABS  X 30,FULL PACK,270
CHYMORAL FORT TABS 100000A.U X 30,PACK,790
CHYMORAL INJ 1ML X 5,FULL PACK,"5,870.00"
CHYMORAL TABS  X 30,FULL PACK,650
CIALIS TABS 20MG X 4,PACK,"4,500.00"
CIBIDORF TABS 500MG X 1,PACK,250
CICATRIN POWDER  10G,BOTTLE,550
CIDAFLOX TABS 500MG X 1,PACK,725
CIFLAXIN EYE DROPS 5ML X 1,BOTTLE,450
CIFLAXIN TABS 500MG X 10,PACK,490
CIFLOMAX CAPLET 500MG X 10,PACK,320
CIFLOMAX TABS 500MG X 14,PACK,340
CIFLOMAX-PLUS TABS  X 10,PACK,370
CIFRAN TABS 500MG X 10,PACK,350
CIKLAVIT SYR 200ML,BOTTLE,"1,132.00"
CILOXAN EYE DROPS 0.3% 5ML,BOTTLE,980
CILZEC PLUS TABS  X 30,FULL PACK,"2,490.00"
CILZEC TABS 40MG X 30,FULL PACK,"3,125.00"
CILZEC TABS 80MG X 30,FULL PACK,"3,260.00"
CIMETIDINE (UNBRANDED)  TABS 200MG X 20,PACK,285
CIMETIDINE INJ  X 100 {UNBRANDED} ,FULL PACK,"3,600.00"
CIMETIDINE X 20 (MAYDON)  TABS 400MG,PACK,380
CIMETIDINE(MULTICOY) TABS 400MG X 10,PACK,335
CINEX TABS  X 100,FULL PACK,500
CINFLOX X 10 TABS ,PACK,110
CINNAMON (SUNDOWN) 1000MG CAPS X 200  ,JAR,"1,455.00"
CINNAMON(21 CENTURY) CAPS 1000MG X 120,JAR,"3,500.00"
CINNAMON(MASON) CAPS 1000MG X 1,JAR,"2,500.00"
CINNAMON(P/P) CAPS 500MG X 100,JAR,"2,800.00"
CIPNOX TABS 500MG X 10,PACK,200
CIPOX X 10 CAPLET 500MG,PACK,150
CIPRGYL X 100 IV INFUSION 500ML,BOTTLE,90
CIPRO EYE DROPS 10ML X 1,PACK,330
CIPRO- 500 TABS  X 14,PACK,350
CIPRO-J EYE DROPS 10ML,PACK,900
CIPRO-S TABS 500MG X 10,PACK,200
CIPROBIOTIC FORTE X 10 TABS 500MG,PACK,360
CIPROBON X 10 CAPLET 500MG,PACK,195
CIPROCET EYE DROPS 10ML,BOTTLE,230
CIPROCIL (CIPROFLOXACIN) X10 TABS 200MG,PACK,120
CIPROFLOX  500MG TAB X 10,PACK,170
CIPROFLOXACIN (FIDSON)  TABS 500MG X 10,PACK,350
CIPROFLOXACIN (NCI)  EYE/EAR DROPS X 1,BOTTLE,110
CIPROFLOXACIN (UNBRANDED) INFUSION 500MG 100ML,BOTTLE,200
CIPROFLOXACIN /TIN (GPL)  TABS  X 10,PACK,480
CIPROFLOXACIN INFUSION(UNIQUE)   X 100,BOTTLE,300
CIPROFLOXACIN X 10 (MULTICOY)  TABS ,PACK,215
CIPROFLOXACIN(BG) TABS 500MG X 10,PACK,170
CIPROFLOXACIN(HIKMEG) TABS 500MG X 10,PACK,420
CIPROFLOXACIN(HYGIEIA) TABS 500MG X 10,PACK,170
CIPROFLOXACIN(KADARK) SOFTGEL 500MG X 10,PACK,"1,050.00"
CIPROFLOXACIN(KESSINGTON GLOBAL) TABS 500MG X 10,PACK,180
CIPROFLOXACIN(M&B) TABS 500MG X 10,PACK,480
CIPROFLOXACIN(M&B) TABS 500MG X 14,PACK,500
CIPROFLOXACIN(MULTICOY) EYE DROPS 10ML,PACK,160
CIPROFLOXACIN(OSWORTH) CAPLET 500MG X 10,PACK,240
CIPROFLOXACIN(PHARMACY PLUS) EYE DROPS 10ML X 1,PACK,470
CIPROGEM TABS 250MG X 1,PACK,"1,590.00"
CIPROGEM X 10 TABS 500MG,PACK,"1,165.00"
CIPROMON TABS X 10,PACK,200
CIPRONOL SMALL PACK X 10 TABS ,PACK,130
CIPRONOL(LONG PACK) TABS 500MG X 1,PACK,230
CIPRONOL-TN X 10 TABS ,PACK,375
CIPROPAN CAPLET X 10,PACK,150
CIPROPTIC EYE DROPS  10ML,PACK,275
CIPROSOFT X 10 TABS 500MG,PACK,800
CIPROSTAT-TN X 10 TABS ,PACK,600
CIPROTAB  INFUSION 2mg/ml 100ML,BOTTLE,260
CIPROTAB TN TABS ,PACK,"1,350.00"
CIPROTAB X 10 (FIDSON)  TABS 500MG,PACK,"1,280.00"
CIPROTAB X 14 TABS 500MG,PACK,"1,600.00"
CIPROZAR EYE DROPS 10ML X 1,PACK,200
CIPTA (CIPROFLOXACIN & TINIDAZOLE) X 10 TABS ,PACK,450
CIRCUMCISION SCISSORS  S/S,PCS,240
CIRCUMCISION SET   X 14,PACK,"5,100.00"
CIRCUMCISION SET X 6,PACK,"3,800.00"
CIRCUMCISION SET X 9,PACK,"4,300.00"
CITRAMIN C X 60 DROPS 15ML,BOTTLE,260
CITRAMIN SYRUP X 50  ,BOTTLE,286
CITRO CLEAR OIL X 1,JAR,300
CIVODEX EYE/EAR DROPS 5ML,BOTTLE,520
CLABACT TABS 500MG X 14,FULL PACK,850
CLABETIC TABS 5/500MG X 30,FULL PACK,800
CLADIPINE TABS 10MG X 30,FULL PACK,850
CLAFIX TABS 200MG X 10,PACK,640
CLAM-TONE (CALCIUM) X100 TABS ,JAR,180
CLAM-TONE X 1000 TABS ,JAR,"1,050.00"
CLAMIDE TABS 5MG X 100,FULL PACK,"1,370.00"
CLAMOXIN X 14 TABS 625MG,PACK,"1,400.00"
CLAMPROST EYE DROPS 0.004% 3ML,BOTTLE,"3,600.00"
CLAMYCEF CAPS 150MG X 50,FULL PACK,"5,450.00"
CLAMYSOL CAPS 300MG,PACK,905
CLAMYSOL TABS 150MG,PACK,600
CLANOSTEN VAG X 6 TABS 100MG,PACK,150
CLARICIN X 14 TABS 500MG,PACK,895
CLARITHROMAX (VIXA) TABS 500MG,PACK,"1,190.00"
CLARITHROMYCIN 500MG TAB X 14(MULTICOY),FULL PACK,810
CLARITHROMYCIN(POCCO) TABS 500MG X 14,PACK,"1,350.00"
CLARITHROMYCIN(SAM JONES) TABS 500MG X 10,PACK,"1,500.00"
CLARTEM TABS 20/120 X 24,PACK,300
CLARTHRIME TABS 500MG X 14,PACK,"1,650.00"
CLASSIC WHITE SOAP 85G X 1,PACK,90
CLAVUGEN INJ 1.2G X 5,FULL PACK,"1,500.00"
CLAVULIN SUSP 228MG/5ML,BOTTLE,788
CLAVULIN X 14 TABS 1G,PACK,"1,784.00"
CLAVULIN X 14 TABS 625MG,PACK,"1,578.00"
CLAVULIST 625MG X 14,PACK,"1,065.00"
CLAVULIST INJ X 1,VIALS,650
