ProductName:,item,GenericName,Code,Department,DosageForm:,presentation,unit_quantity,Category,full_pack,Vendor
CICATRIN,CICATRIN POWDER  10G,clavulanic acid,1000214,Pharmacy,POWDER,BOTTLE,10G,,1,
CIDAFLOX,CIDAFLOX TABS 500MG X 1,,8.90415E+12,Pharmacy,TABLETS,PACK,,,1,FILGAP HEAITHCARE LTD
CIEN BEAUTY SOAP 150G,CIEN BEAUTY SOAP 150G X 1,,6009956,Supermarket,,SOAP TABLET,,,1,
CIFLAXIN,CIFLAXIN EYE DROPS 5ML X 1,,11355,Pharmacy,EYE DROPS,BOTTLE,,,1,DRUGFIELD PHARMACEUTICALS LIMITED
ciflaxin,CIFLAXIN TABS 500MG X 10,Ciprofloxacin,,Pharmacy,TABLETS,PACK,,,1,DRUGFIELD PHARMACEUTICALS LIMITED
ciflomax,CIFLOMAX CAPLET 500MG X 10,,1007996,Pharmacy,CAPLET,PACK,10,,10,OANG LIMITED
ciflomax,CIFLOMAX TABS 500MG X 14,,6012421,Pharmacy,TABLETS,PACK,14,,14,
CIFLOMAX-PLUS,CIFLOMAX-PLUS TABS  X 10,,6012013,Pharmacy,TABLETS,PACK,10,,10,
CIFRADEX- i,CIFRADEX- I EYE DROPS 5ML X 1,,6010144,Pharmacy,EYE DROPS,PACK,,,1,
CIFRAN OD,CIFRAN OD TABS 1000MG X 10,Ciprofloxacin,7259,Pharmacy,TABLETS,PACK,10,,10,
CIFRAN,CIFRAN TABS 500MG X 10,Ciprofloxacin,4876,Pharmacy,TABLETS,PACK,10,,1,
CIGAR PERFUME 100ML,CIGAR PERFUME 100ML X 1,,37361001889,Supermarket,,BOTTLE,1,,1,
CIGAR ROLLON,CIGAR ROLLON X 1,,13838,Supermarket,,JAR,1,,1,
CIKAFLU,CIKAFLU TABS  X 200,,6012557,Pharmacy,TABLETS,BLISTER,4,,200,
CIKLAVIT,CIKLAVIT SYR 200ML,,6.156E+12,Pharmacy,SYRUP,BOTTLE,,,1,
AMPICLOX,CILLINOX (AFRABCHEM) SUSP  100ML,,11394,Pharmacy,SUSPENSION,BOTTLE,100ML,,1,
CILOXAN,CILOXAN EYE DROPS 0.3% 5ML,Ciprofloxacin Hydrochloride,5.4139E+12,Pharmacy,EYE DROPS,BOTTLE,5ML,,1,
CILZEC PLUS,CILZEC PLUS TABS  X 30,,1007672,Pharmacy,TABLETS,BLISTER,10,,30,
CILZEC,CILZEC TABS 40MG X 30,,8.90408E+12,Pharmacy,TABLETS,BLISTER,10,,30,
CILZEC,CILZEC TABS 80MG X 30,,1007671,Pharmacy,TABLETS,BLISTER,10,,30,
cimetidine,CIMETIDINE (UNBRANDED)  TABS 200MG X 20,Cimetidine,6414,Pharmacy,TABLETS,PACK,1,,20,
cimetidine,CIMETIDINE INJ  X 100 {UNBRANDED} ,Cimetidine,7539,Pharmacy,INJECTION (SOLUTION),AMPOULES,1,,100,
cimetidine X 20,CIMETIDINE X 20 (MAYDON)  TABS 400MG,Cimetidine,1000722,Pharmacy,TABLETS,PACK,,,1,
CIMETIDINE(MULTICOY),CIMETIDINE(MULTICOY) TABS 400MG X 10,,6011031,Pharmacy,TABLETS,PACK,,,1,
CINDERINE,CINDERINE CAPS  X 30,,7719,Pharmacy,CAPSULES,BLISTER,15,,30,
CINEX,CINEX TABS  X 100,,7580,Pharmacy,TABLETS,BLISTER,10,,100,
cinflox x 10,CINFLOX X 10 TABS ,,6008927,Pharmacy,TABLETS,PACK,,,1,
CINNAMON (SUNDOWN) 1000MG CAPS X 200,CINNAMON (SUNDOWN) 1000MG CAPS X 200  ,,30768140229,Pharmacy,,JAR,,,1,
CINNAMON,CINNAMON INJ 1.2G X 1,,6012100,Pharmacy,INJECTION (POWDER),BOTTLE,,,1,
cinnamon,CINNAMON TABS 500MG X 100,,6011013,Pharmacy,TABLETS,JAR,,,1,
cinnamon(21 century),CINNAMON(21 CENTURY) CAPS 1000MG X 120,,,Pharmacy,CAPSULES,JAR,,,1,megavox ltd
CINNAMON(MASON),CINNAMON(MASON) CAPS 1000MG X 1,,,Pharmacy,CAPSULES,JAR,,,1,megavox ltd
CINNAMON(P/P),CINNAMON(P/P) CAPS 500MG X 100,,6012193,Pharmacy,CAPSULES,JAR,100,,100,
CIPNOX,CIPNOX TABS 500MG X 10,Ciprofloxacin,6013173,Pharmacy,TABLETS,PACK,10,,10,
CIPOX x 10,CIPOX X 10 CAPLET 500MG,,9.11563E+11,Pharmacy,CAPLET,PACK,,,1,
CIPRGYL X 100 IV,CIPRGYL X 100 IV INFUSION 500ML,,8120,Pharmacy,INFUSION,BOTTLE,,,1,
CIPRO- 500,CIPRO- 500 TABS  X 14,,9283,Pharmacy,TABLETS,PACK,14,,14,
CIPRO,CIPRO EYE DROPS 10ML X 1,,6011440,Pharmacy,EYE DROPS,PACK,,,1,
CIPROBACT,CIPROBACT TABS 500MG X 10,,6012844,Pharmacy,TABLETS,PACK,,,1,
CIPROBIOTIC FORTE x 10,CIPROBIOTIC FORTE X 10 TABS 500MG,,8.90232E+12,Pharmacy,TABLETS,PACK,,,1,EMCURE NIGERIA LTD.
ciprobon x 10,CIPROBON X 10 CAPLET 500MG,,6010175,Pharmacy,CAPLET,PACK,,,1,
ciproCet,CIPROCET EYE DROPS 10ML,,8.9024E+12,Pharmacy,EYE DROPS,BOTTLE,,,1,
CIPROCIL (CIPROFLOXACIN) X10,CIPROCIL (CIPROFLOXACIN) X10 TABS 200MG,,1007691,Pharmacy,TABLETS,PACK,,,1,
CIPROFIT,CIPROFIT  500MG CAP X 10,,11824,Pharmacy,CAPSULES,PACK,10,,10,
CIPROFLOX,CIPROFLOX  500MG TAB X 10,Ciprofloxacin,1766,Pharmacy,TABLETS,PACK,10,,10,
CIPROFLOXACIN,CIPROFLOXACIN (FIDSON)  TABS 500MG X 10,,,Pharmacy,TABLETS,PACK,10,,10,
CIPROFLOXACIN,CIPROFLOXACIN (MULTICOY)  TABS 500MG X 14,,6013117,Pharmacy,TABLETS,PACK,,,1,
ciprofloxacin,CIPROFLOXACIN (NCI)  EYE/EAR DROPS X 1,,6012965,Pharmacy,EYE/EAR DROPS,BOTTLE,,,1,
CIPROFLOXACIN,CIPROFLOXACIN (UNBRANDED) INFUSION 500MG 100ML,,10232,Pharmacy,INFUSION,BOTTLE,100ml,,1,
CIPROFLOXACIN /TIN,CIPROFLOXACIN /TIN (GPL)  TABS  X 10,,6013051,Pharmacy,TABLETS,PACK,10,,10,
CIPROFLOXACIN INFUSION(UNIQUE),CIPROFLOXACIN INFUSION(UNIQUE)   X 100,,6010210,Pharmacy,,BOTTLE,1,,100,
ciprofloxacin x 10,CIPROFLOXACIN X 10 (MULTICOY)  TABS ,,6009848,Pharmacy,TABLETS,PACK,,,1,
ciprofloxacin(bg),CIPROFLOXACIN(BG) TABS 500MG X 10,,6.15615E+12,Pharmacy,TABLETS,PACK,,,1,
CIPROFLOXACIN(D-GLOPA),CIPROFLOXACIN(D-GLOPA) CAPLET 500MG X 14,,6011460,Pharmacy,CAPLET,PACK,14,,14,
ciprofloxacin(hikmeg),CIPROFLOXACIN(HIKMEG) TABS 500MG X 10,Ciprofloxacin,,Pharmacy,TABLETS,PACK,,,1,HIKMEG PHARMA
CIPROFLOXACIN(HYGIEIA),CIPROFLOXACIN(HYGIEIA) TABS 500MG X 10,,6013475,Pharmacy,TABLETS,PACK,10,,10,
ciprofloxacin(kadark),CIPROFLOXACIN(KADARK) SOFTGEL 500MG X 10,,,Pharmacy,SOFTGEL,PACK,,,1,KADARK PHARMACEUTICALS LIMITED
ciprofloXACIN(kessington global),CIPROFLOXACIN(KESSINGTON GLOBAL) TABS 500MG X 10,,,Pharmacy,TABLETS,PACK,10,,10,KESSINGTON GLOBAL SYNERGY LTD.
CIPROFLOXACIN(M&B),CIPROFLOXACIN(M&B) TABS 500MG X 10,,6012342,Pharmacy,TABLETS,PACK,,,1,
ciprofloXACIN(m&B),CIPROFLOXACIN(M&B) TABS 500MG X 14,,6013472,Pharmacy,TABLETS,PACK,14,,14,MAY & BAKER NIGERIA PLC
ciprofloxacin(multicoy),CIPROFLOXACIN(MULTICOY) EYE DROPS 10ML,,6008912,Pharmacy,EYE DROPS,PACK,,,1,
CIPROFLOXACIN(OSWORTH),CIPROFLOXACIN(OSWORTH) CAPLET 500MG X 10,,1009167,Pharmacy,CAPLET,PACK,,,1,
ciprofloxacin(pharmacy plus),CIPROFLOXACIN(PHARMACY PLUS) EYE DROPS 10ML X 1,Ciprofloxacin,,Pharmacy,EYE DROPS,PACK,,,1,OPTIVISION LIMITED
CIPROGEM,CIPROGEM TABS 250MG X 1,Ciprofloxacin,1734,Pharmacy,TABLETS,PACK,,,1,
CIPROGEM x 10,CIPROGEM X 10 TABS 500MG,Ciprofloxacin,1000671,Pharmacy,TABLETS,PACK,,,1,
CIPRO-J,CIPRO-J EYE DROPS 10ML,,15324,Pharmacy,EYE DROPS,PACK,,,1,
Ciprolex,CIPROLEX 500MG TABS  X 10,Ciprofloxacin,4745,Pharmacy,TABLETS,PACK,10,,10,
CIPROMON,CIPROMON TABS X 10,,6011694,Pharmacy,TABLETS,PACK,,,1,
CIPRONOL SMALL PACK X 10,CIPRONOL SMALL PACK X 10 TABS ,,1007784,Pharmacy,TABLETS,PACK,,,1,
CIPRONOL(long pack),CIPRONOL(LONG PACK) TABS 500MG X 1,,15268,Pharmacy,TABLETS,PACK,,,1,
CIPRONOL-TN x 10,CIPRONOL-TN X 10 TABS ,,6009575,Pharmacy,TABLETS,PACK,,,1,
CIPROPAN,CIPROPAN CAPLET X 10,,1007998,Pharmacy,CAPLET,PACK,,,1,
',CIPROPTIC EYE DROPS  10ML,,6012095,Pharmacy,EYE DROPS,PACK,10ML,,1,
CIPRO-S,CIPRO-S TABS 500MG X 10,,6012117,Pharmacy,TABLETS,PACK,,,1,
CIPROSOFT X 10,CIPROSOFT X 10 TABS 500MG,,6009415,Pharmacy,TABLETS,PACK,,,1,
CIPROSTAT-TN,CIPROSTAT-TN X 10 TABS ,,6011738,Pharmacy,TABLETS,PACK,,,1,
Ciprotab,CIPROTAB  INFUSION 2mg/ml 100ML,Ciprofloxacin,8.906E+12,Pharmacy,INFUSION,BOTTLE,100ML,,1,
CIPROTAB TN,CIPROTAB TN TABS ,,15285,Pharmacy,TABLETS,PACK,,,1,
Ciprotab X 10,CIPROTAB X 10 (FIDSON)  TABS 500MG,Ciprofloxacin,1000646,Pharmacy,TABLETS,PACK,,,1,
Ciprotab x 14,CIPROTAB X 14 TABS 500MG,Ciprofloxacin,8.906E+12,Pharmacy,TABLETS,PACK,,,1,
CIPROXAMED x 10,CIPROXAMED  500MG TAB,,8.90402E+12,Pharmacy,TABLETS,PACK,10,,100,
ciprozar,CIPROZAR EYE DROPS 10ML X 1,,8.90403E+12,Pharmacy,EYE DROPS,PACK,,,1,
ciprozar x 10,CIPROZAR X 10 TABS ,,6009673,Pharmacy,TABLETS,PACK,,,1,
CIPTA (CIPROFLOXACIN & TINIDAZOLE) X 10,CIPTA (CIPROFLOXACIN & TINIDAZOLE) X 10 TABS ,,8.90418E+12,Pharmacy,TABLETS,PACK,,,1,AWARD GLOBAL COMPANY LTD.
circle day(women) perfume,CIRCLE DAY(WOMEN) PERFUME X 1,,6010993,Supermarket,,PACK,,,1,
CIRCUIT PERF 100ML,CIRCUIT PERF 100ML,,17420,Supermarket,,PACK,,,1,
CIRCUMCISION FORCET,CIRCUMCISION FORCEP,,11193,Pharmacy,,PCS,,,1,
CIRCUMSION SCISSORS,CIRCUMCISION SCISSORS  S/S,,8310,Pharmacy,,PCS,,,1,
circumcision set,CIRCUMCISION SET   X 11,,,Pharmacy,,PACK,11,,11,
CIRCUMCISION SET,CIRCUMCISION SET   X 14,,6012063,Pharmacy,,PACK,14,,14,
CIRCUMCISION SET x 6,CIRCUMCISION SET X 6,,8673,Pharmacy,,PACK,1,,1,
CIRCUMCISION SET x 9,CIRCUMCISION SET X 9,,8413,Pharmacy,,PACK,1,,1,
CITRAMIN X 60,CITRAMIN C X 60 DROPS 15ML,,1000080,Pharmacy,ORAL DROPS,BOTTLE,1,,1,
citramin syrup x 50,CITRAMIN SYRUP X 50  ,,6009853,Pharmacy,,BOTTLE,,,1,
CITRO ClEAR LOTION,CITRO CLEAR LOTION 500ML,,6011449,Supermarket,,PACK,500ML,,1,
citro clear oil,CITRO CLEAR OIL X 1,,6009471,Pharmacy,,JAR,,,1,
CITRO ClEAR SOAP S/S,CITRO CLEAR SOAP S/S X 1,,6009764,Supermarket,,SOAP TABLET,,,1,
CITRO ClEAR TUBE,CITRO CLEAR TUBE X 1,,6010595,Supermarket,,TUBE,,,1,
CITROCLEAR SOAP,CITROCLEAR SOAP 200G,,6010851,Supermarket,,PACK,200G,,1,
CITRON SYRUP,CITRON SYRUP 100CL,,3.013E+12,Supermarket,,BOTTLE,,,1,
CITY POLICE CAR,CITY POLICE CAR X 1,,6011353,Supermarket,,PACK,,,1,
CIVIC CREAM,CIVIC CREAM X 10,,15235,Supermarket,CREAM,TUBE,10,,10,
CIVODEX,CIVODEX EYE/EAR DROPS 5ML,,14918,Pharmacy,EYE/EAR DROPS,BOTTLE,,,1,
CIVO-OFLOXACIN,CIVO-OFLOXACIN  400MG X 10,ofloxacin,1008699,Pharmacy,,PACK,,,1,
CKNZU PERFUME,CKNZU PERFUME X 1,,13318,Supermarket,,BOTTLE,1,,1,
CLABACT,CLABACT TABS 250MG X 14,,15431,Pharmacy,TABLETS,BLISTER,7,,14,
CLABACT,CLABACT TABS 500MG X 14,,15430,Pharmacy,TABLETS,BLISTER,7,,14,
CLABETIC,CLABETIC TABS 5/500MG X 30,,8.90604E+12,Pharmacy,TABLETS,BLISTER,10,,30,
CLADIPINE,CLADIPINE TABS 10MG X 30,,6013034,Pharmacy,TABLETS,BLISTER,10,,30,
CLAFIX,CLAFIX TABS 200MG X 10,,6012502,Pharmacy,TABLETS,PACK,,,1,
ClAIR EXPRES SERUM,CLAIR EXPRES SERUM 50ML,,6010739,Supermarket,,JAR,,,1,
CLAIR EXPRESS LOTION 300ML,CLAIR EXPRESS LOTION 300ML,,16471,Supermarket,,JAR,,,1,
CLAIR EXPRESS LOTION 400ML,CLAIR EXPRESS LOTION 400ML,,16226,Supermarket,,JAR,,,1,
CLAIR EXPRESS SERUN 50ML,CLAIR EXPRESS SERUN 50ML,,1006566,Supermarket,,BOTTLE,,,1,
CLAIR EXPRESS SOAP 100G,CLAIR EXPRESS SOAP 100G X 1,,16320,Supermarket,,PACK,1,,1,
CLAIR-LISS  LOTION 250ML,CLAIR-LISS  LOTION 250ML X 1,,6.1811E+12,Supermarket,,JAR,1,,1,
CLAIR-LISS CREAM CUP 150G,CLAIR-LISS CREAM CUP 150G X 1,,17140,Supermarket,,JAR,,,1,
CLAIR-LISS CREAM CUP 330G,CLAIR-LISS CREAM CUP 330G X 1,,6.1811E+12,Supermarket,CREAM,JAR,1,,1,
CLAMIDE,CLAMIDE TABS 5MG X 100,Glibenclamide,ucla08,Pharmacy,TABLETS,BLISTER,10,,100,HOVID
clamoxin X 14,CLAMOXIN X 14 TABS 625MG,,1003083,Pharmacy,TABLETS,PACK,,,1,
CLAMPEX,CLAMPEX INJ  X 5,,11732,Pharmacy,INJECTION (SOLUTION),AMPOULES,1,,5,
clamprost,CLAMPROST EYE DROPS 0.004% 3ML,,,Pharmacy,EYE DROPS,BOTTLE,3ml,,1,
CLAM-TONE (CALCIUM) X100,CLAM-TONE (CALCIUM) X100 TABS ,,15237,Pharmacy,TABLETS,JAR,,,1,
CLAM-TONE,CLAM-TONE X 1000 TABS ,,1007590,Pharmacy,TABLETS,JAR,,,1,
CLAMYCEF,CLAMYCEF CAPS 150MG X 50,,7910,Pharmacy,CAPSULES,BLISTER,10,,50,
clamysol,CLAMYSOL CAPS 300MG,Clindamycin,15162,Pharmacy,CAPSULES,PACK,,,1,
clamysol,CLAMYSOL TABS 150MG,,6008908,Pharmacy,TABLETS,PACK,,,1,
CLANOSTEN VAG X 6,CLANOSTEN VAG X 6 TABS 100MG,,1007609,Pharmacy,TABLETS,PACK,,,1,
CLANOZ,CLANOZ TABS 10MG X 20,Acetaminophen,1009176,Pharmacy,TABLETS,BLISTER,10,,20,
CLARICIN X 14,CLARICIN X 14 TABS 500MG,,9513,Pharmacy,TABLETS,PACK,,,1,
CLARIDEX,CLARIDEX SUSP 100ML,,14792,Pharmacy,SUSPENSION,BOTTLE,,,1,
CLARIDEX-500 TABS X 14,CLARIDEX-500 TABS X 14  ,Clarithromycin,12306,Pharmacy,,PACK,,,1,
CLARINEZ ADULT,CLARINEZ ADULT NASAL DROPS ,,1003663,Pharmacy,NASAL DROPS,BOTTLE,,,1,
CLARINEZ CHILD,CLARINEZ CHILD NASAL DROPS ,,1003664,Pharmacy,NASAL DROPS,BOTTLE,,,1,
CLARITHROMAX (VIXA),CLARITHROMAX (VIXA) TABS 500MG,,10360,Pharmacy,TABLETS,PACK,,,1,
clarithromycin (multicoy),CLARITHROMYCIN (MULTICOY) SUSP ,,15077,Pharmacy,SUSPENSION,BOTTLE,,,1,
clarithromycin (multicoy),CLARITHROMYCIN (MULTICOY) TABS 250MG X 14,,15385,Pharmacy,TABLETS,PACK,7,,14,
clarithromycin,CLARITHROMYCIN 500MG TAB X 14(MULTICOY),Clarithromycin,1000404,Pharmacy,TABLETS,BLISTER,7,,14,
clarithromycin(pocco),CLARITHROMYCIN(POCCO) TABS 500MG X 14,,6012171,Pharmacy,TABLETS,PACK,,,1,
clarithromycin(sam jones),CLARITHROMYCIN(SAM JONES) TABS 500MG X 10,,,Pharmacy,TABLETS,PACK,,,1,DE-ZUBIK PHARMACEUTICA LTD
CLARITYNE,CLARITYNE SYR 1MG/ML,,9796,Pharmacy,SYRUP,BOTTLE,60ML,,1,
CLARTEM,CLARTEM TABS 20/120 X 24,,6012052,Pharmacy,TABLETS,PACK,24,,24,
clarthrime,CLARTHRIME TABS 500MG X 14,,,Pharmacy,TABLETS,PACK,,,1,CHEZ RESOURCES PHARM. LTD
CLASSIC BISCUIT,CLASSIC BISCUIT,,15193,Supermarket,,PACK,,,1,
CLASSIC CAKE  70G,CLASSIC CAKE  70G,,17126,Supermarket,,SACHET,,,1,
CLASSIC EYE LASHES,CLASSIC EYE LASHES,,15431,Supermarket,,JAR,,,1,
CLASSIC FACE FOUNDATION,CLASSIC FACE FOUNDATION X 1,,6011830,Supermarket,,PACK,,,1,
CLASSIC LIP STICK,CLASSIC LIP STICK X 1,,6011853,Supermarket,,PCS,,,1,
CLASSIC OIL CONTROL POWDER,CLASSIC OIL CONTROL POWDER X 1,,6011822,Supermarket,,PACK,,,1,
CLASSIC PLASTER,CLASSIC PLASTER   X 20,,6012509,Pharmacy,,PACK,20,,20,
CLASSIC POWDER,CLASSIC POWDER X 1,,6011823,Supermarket,,PACK,,,1,
CLASSIC RED WINE,CLASSIC RED WINE 750ML,,13433,Supermarket,,BOTTLE,1,,1,
CLASSIC SPOT AND SCAR ERASER,CLASSIC SPOT AND SCAR ERASER X 1,,6011825,Supermarket,,BOTTLE,,,1,
CLASSIC WHITE SOAP 85G,CLASSIC WHITE SOAP 85G X 1,,8.99329E+12,Supermarket,,PACK,,,1,
CLASSIO,CLASSIO,,6010661,Supermarket,,,,,1,
CLAVUGEN,CLAVUGEN INJ 1.2G X 5,Amoxicillin and Clavulanate,6012112,Pharmacy,INJECTION (POWDER),VIALS,1,,5,
CLAVULIN,CLAVULIN SUSP 228MG/5ML,Amoxicillin and Clavulanate,1003249,Pharmacy,SUSPENSION,BOTTLE,,,1,WWCVL (GSK)
CLAVULIN x 14,CLAVULIN X 14 TABS 1G,Amoxicillin and Clavulanate,15115,Pharmacy,TABLETS,PACK,,,1,
CLAVULIN x 14,CLAVULIN X 14 TABS 625MG,Amoxicillin and Clavulanate,1003248,Pharmacy,TABLETS,PACK,,,1,WWCVL (GSK)
CLAVULIST 625MG X 14,CLAVULIST 625MG X 14,,6010087,Pharmacy,TABLETS,PACK,,,1,
CLAVULIST,CLAVULIST INJ 1.2G X 1,,6012495,Pharmacy,INJECTION (POWDER),VIALS,1,,1,
CLAVULIST,CLAVULIST INJ X 1,,6012494,Pharmacy,INJECTION (POWDER),VIALS,,,1,
CLAVULIST X14,CLAVULIST X14 TABS 1G,,6010088,Pharmacy,TABLETS,PACK,,,1,
CLEAARASIL SKIN CLEARING WIPES 6M,CLEAARASIL SKIN CLEARING WIPES 6M,,5.00017E+12,Supermarket,,PACK,,,1,
CLEAN & CLEAR  CLEARING SOAP 100G,CLEAN & CLEAR  CLEARING SOAP 100G,,15986,Supermarket,,TIN,,,1,
CLEAN & CLEAR  SCRUB 141G,CLEAN & CLEAR  SCRUB 141G,,3.8137E+11,Supermarket,,TUBE,,,1,
CLEAN & SMOOTH  LIQUID SOAP 710ML,CLEAN & SMOOTH  LIQUID SOAP 710ML,,51700350858,Supermarket,,JAR,,,1,
CLEAN AND CLEAR  CLEANSER MIX,CLEAN AND CLEAR  CLEANSER MIX X 1,,13876,Supermarket,,BOTTLE,1,,1,
CLEAN AND CLEAR SOAP,CLEAN AND CLEAR SOAP X 75,,1007367,Supermarket,,PACK,,,1,
CLEAN WHITE  TOOTH BRUSH,CLEAN WHITE  TOOTH BRUSH X 12,,16567,Supermarket,,PCS,12,,12,
CLEANSE,CLEANSE CAPS  X 60,,6013309,Pharmacy,CAPSULES,JAR,60,,60,
CLEAR  ESSENCE  HYDROXY CLEANSER 236ML,CLEAR  ESSENCE  HYDROXY CLEANSER 236ML,,7.37192E+11,Supermarket,,BOTTLE,,,1,
CLEAR & SMOOTH COMPLEXION SOAP 80G,CLEAR & SMOOTH COMPLEXION SOAP 80G,,7.37192E+11,Supermarket,,SOAP TABLET,,,1,
CLEAR & SMOOTH COMPLEXION TONING MILK,CLEAR & SMOOTH COMPLEXION TONING MILK,,7.40939E+11,Supermarket,,JAR,,,1,
CLEAR & SMOOTH CREAM TUBE,CLEAR & SMOOTH CREAM TUBE X 1,,6009892,Supermarket,,TUBE,,,1,
CLEAR & SMOOTH SKIN TREATMENT OIL,CLEAR & SMOOTH SKIN TREATMENT OIL X 1,,17300,Supermarket,,PACK,,,1,
CLEAR ACTION FADE CUP,CLEAR ACTION FADE CUP 500ML,,8.02788E+12,Supermarket,,JAR,500ML,,1,
CLEAR ACTION LOTION,CLEAR ACTION LOTION 450L,,13152,Supermarket,LOTION,BOTTLE,450L,,1,
CLEAR ACTION SOAP 100G,CLEAR ACTION SOAP 100G,,13288,Supermarket,,SOAP TABLET,1,,1,
CLEAR AND CLEAN LOTION,CLEAR AND CLEAN LOTION 250ML,,13131,Supermarket,,BOTTLE,250ML,,1,
CLEAR AND SMOOTH CLEANSER,CLEAR AND SMOOTH CLEANSER X 1,,13727,Supermarket,,BOTTLE,1,,1,
CLEAR AND SMOOTH FADE CUP 250ML,CLEAR AND SMOOTH FADE CUP 250ML X 1,,12999,Supermarket,,JAR,1,,1,
CLEAR AND SMOOTH GEL PLUS,CLEAR AND SMOOTH GEL PLUS 30G,,13077,Supermarket,CREAM,TUBE,30G,,1,
CLEAR AND SMOOTH SOAP,CLEAR AND SMOOTH SOAP 85G,,12778,Supermarket,,SOAP TABLET,85G,,1,
CLEAR AND SMOOTH TUBE CREAM,CLEAR AND SMOOTH TUBE CREAM 30G,,13408,Supermarket,,TUBE,30G,,1,
ClEAR BLACK SOAP,CLEAR BLACK SOAP X 1,,,Supermarket,,SOAP TABLET,,,1,GRACIOUS JOBIZ COSMETICES LIMITED
clear clear lotion,CLEAR CLEAR LOTION X 1,,6011209,Supermarket,,JAR,,,1,
CLEAR DARK SPOT BODY LOTION 400ML,CLEAR DARK SPOT BODY LOTION 400ML,,16102,Supermarket,,JAR,,,1,
CLEAR DARK SPOT MEDICATED SOAP 80G,CLEAR DARK SPOT MEDICATED SOAP 80G,,1.30303E+11,Supermarket,,PACK,,,1,
CLEAR DARK SPOT TRANSPARENT SOAP,CLEAR DARK SPOT TRANSPARENT SOAP X 1,,1.30603E+11,Supermarket,,PACK,,,1,
CLEAR DARK SPOT TUBE,CLEAR DARK SPOT TUBE X 1,,6009027,Supermarket,,TIN,,,1,
CLEAR DIFFERENCE LOTION 532ML,CLEAR DIFFERENCE LOTION 532ML,,28001401398,Supermarket,CREAM,JAR,,,1,
CLEAR DIFFERENCE SOAP,CLEAR DIFFERENCE SOAP X 1,,13451,Supermarket,,SOAP TABLET,1,,1,
CLEAR DIFFERENT COMPLEXION CUP 454G,CLEAR DIFFERENT COMPLEXION CUP 454G,,16308,Supermarket,,JAR,,,1,
CLEAR DIFFERENT TRANSPARENT  SOAP,CLEAR DIFFERENT TRANSPARENT  SOAP X 1,,15814,Supermarket,,PACK,1,,1,
CLEAR ESSENCE  COMPLEXION  SOAP,CLEAR ESSENCE  COMPLEXION  SOAP 150G,,7.37192E+11,Supermarket,,PACK,,,1,
CLEAR ESSENCE (LEMON) SOAP,CLEAR ESSENCE (LEMON) SOAP,,15723,Supermarket,,PACK,,,1,
CLEAR ESSENCE AMHA LOTION,CLEAR ESSENCE AMHA LOTION 250ML,,13245,Supermarket,,BOTTLE,250ML,,1,
CLEAR ESSENCE BABY OIL 296ML,CLEAR ESSENCE BABY OIL 296ML X 1,,7.37192E+11,Supermarket,,BOTTLE,1,,1,
CLEAR ESSENCE BODY OIL,CLEAR ESSENCE BODY OIL X 1,,13296,Supermarket,,BOTTLE,1,,1,
CLEAR ESSENCE BRIGHTENING EYE SERUM 15ML,CLEAR ESSENCE BRIGHTENING EYE SERUM 15ML X 1,,7.37192E+11,Supermarket,,BOTTLE,1,,1,
CLEAR ESSENCE CREAM TUBE 43G,CLEAR ESSENCE CREAM TUBE 43G,,15243,Supermarket,,TUBE,,,1,
clear essence cup 113g,CLEAR ESSENCE CUP 113G X 1,,6010999,Supermarket,,JAR,,,1,
CLEAR ESSENCE FADE,CLEAR ESSENCE FADE 450ML,,13186,Supermarket,CREAM,JAR,450ML,,1,
CLEAR ESSENCE FORMULAR CUP,CLEAR ESSENCE FORMULAR CUP 450ML,,7.37192E+11,Supermarket,,JAR,450ML,,1,
CLEAR ESSENCE maxitone lotion,CLEAR ESSENCE MAXITONE LOTION 227G,,7.37192E+11,Supermarket,CREAM,BOTTLE,,,1,
CLEAR ESSENCE MEDICATED SOAP,CLEAR ESSENCE MEDICATED SOAP 133.2G,,1007397,Supermarket,,PACK,,,1,
CLEAR ESSENCE TRANSP  SOAP 150G,CLEAR ESSENCE TRANSP  SOAP 150G,,15123,Supermarket,,SOAP TABLET,,,1,
clear express oil,CLEAR EXPRESS OIL X 1,,6009443,Supermarket,,JAR,,,1,
clear eyes,CLEAR EYES EYE DROPS 15ML X 1,,6009556,Pharmacy,EYE DROPS,PACK,,,1,
CLEAR MARKS  SOAP 80G,CLEAR MARKS  SOAP 80G,,1.30303E+11,Supermarket,,SOAP TABLET,,,1,
CLEAR NATURE 3-IN-I SOAP 150G,CLEAR NATURE 3-IN-I SOAP 150G,,8.19265E+11,Supermarket,,PACK,,,1,
CLEAR NATURE BODY LOTION 500ML,CLEAR NATURE BODY LOTION 500ML,,8.19265E+11,Supermarket,,JAR,,,1,
CLEAR NATURE BODY MILK,CLEAR NATURE BODY MILK 500ML,,8.19265E+11,Supermarket,,PACK,,,1,
clear nature cream cup,CLEAR NATURE CREAM CUP X 1,,6011741,Supermarket,,JAR,,,1,
clear nature maxi plus lotion 250ml,CLEAR NATURE MAXI PLUS LOTION 250ML X 1,,6011006,Supermarket,,JAR,,,1,
CLEAR NATURE MAXI PLUS LOTION,CLEAR NATURE MAXI PLUS LOTION X 1,,6009034,Supermarket,,JAR,,,1,
